country,country_code,year,debt_pct_gdp
Sudan,SD,1999,865.873242919908
Singapore,SG,2023,175.596688403377
Seychelles,SC,2008,174.684386535722
Cote d'Ivoire,CI,1995,171.065442627283
United Kingdom,GB,2023,138.644282850488
Barbados,BB,2016,133.202197631614
Lebanon,LB,1999,128.641269114899
United States,US,2023,114.755553330184
Bahrain,BH,2020,111.598089477141
Bhutan,BT,2020,111.007884099526
North America,XU,2023,110.29181063742
Spain,ES,2023,107.25996894973
Jamaica,JM,2020,106.282373001667
El Salvador,SV,2024,105.804728748456
San Marino,SM,2022,103.153573465904
